parent_code,code,name,type,asset_type,method_number_min,method_number,account_asset_id,account_depreciation_id,account_expense_id,account_income_id,method,method_time,method_period
2_1_6,2_1_6_2,"Masini, utilaje si instalatii specifice industriei chimice anorganice",view,none,,,,,,,,,
2_1_6_2,2_1_6_2_1,"Masini, utilaje si instalatii specifice pentru producerea acidului sulfuric si a ingrasamintelor fosfatice, a amoniacului, acidului azotic sia ingrasamintelor azotoase. Masini, utilaje si instalatii specifice producerii sodei. Masini, utilje si instalatii specifice producerii carbidului, oxigenului, pulberilor si explozibililor. Alte masini, utilaje si instalatii specifice pentru industria chimica anorganica.",normal,fixed,96,144,213100,281300,681100,758300,linear,number,1
2_1_6_2,2_1_6_2_2,"Masini, utilaje si instalatii specifice producerii clorului si a compusilor sai",normal,fixed,48,96,213100,281300,681100,758300,linear,number,1
2_1_6,2_1_6_3,"Masini, utilaje si instalatii specifice industriei chimice organice (exclusiv prelucrarea titeiului)",view,none,,,,,,,,,
2_1_6_3,2_1_6_3_1,"Masini, utileje si instalatii specifice producerii fibrelor si firelor artificiale.Vase pentru coagularea latexului, prese de turnare, masini automate de ambalare in baloturi si masini de turnat epruvete de cauciuc. Masini, utilaje si instalatii specializate pentru confectionat produse din cauciuc (anvelope, garnituri, tuburi, etc.)",normal,fixed,108,180,213100,281300,681100,758300,linear,number,1
2_1_6_3,2_1_6_3_2,"Granulatoare pentru negru de fun. Reactoare pentru dehidrogenarea butanului, polimerizatoare. Masini, utilaje si instalatii specializate pentru confectionat produse din mase plastice. Masini, utilaje si instalatii specializate pentru producerea medicamentelor.",normal,fixed,96,144,213100,281300,681100,758300,linear,number,1
2_1_6_3,2_1_6_3_3,"Instalatii pentru preparat solutii, in circuit inchis, in vase de sticla si vase de cuart pentru filtrare",normal,fixed,24,48,213100,281300,681100,758300,linear,number,1
2_1_6,2_1_6_4,"Masini, utilaje si instalatii specifice prelucrarii titeiului, in afara de:",normal,fixed,108,180,213100,281300,681100,758300,linear,number,1
2_1_6_4,2_1_6_4_1,"Masini, utilaje si instalatii specifice prelucrarii titeiului - coloane de distilare fractionata si generatoare de gaz inert;- vase pentru propan si butan.",normal,fixed,144,216,213100,281300,681100,758300,linear,number,1
2_1_6_4,2_1_6_4_2,"Masini, utilaje si instalatii specifice prelucrarii titeiului - agregate pentru taierea hidraulica a cocsului, regeneratoare de catalizator si umectoare, coloane pentru recuperarea SO2 din rafinat si coloane de solventare cu bioxid de sulf si cuptoare pentru arderea gudroanelor",normal,fixed,84,132,213100,281300,681100,758300,linear,number,1
2_1_6,2_1_6_5,"Masini, utilaje si instalatii specifice productiei de sapun, detergenti si lumanari",normal,fixed,96,144,213100,281300,681100,758300,linear,number,1
2_1_6,2_1_6_6,"Alte masini, utilaje si instalatii neregasite din cadrul clasei 2.1.6.",normal,fixed,96,144,213100,281300,681100,758300,linear,number,1
2_1,2_1_7,"Masini, utilaje si instalatii pentru producerea materialelor de constructii si refractare",view,none,,,,,,,,,
2_1_7,2_1_7_1,"Masini, utilaje si instalatii pentru fasonarea produselor, in afara de:",normal,fixed,108,180,213100,281300,681100,758300,linear,number,1
2_1_7_1,2_1_7_1_1,"Masini, utilaje si instalatii pentru fasonarea produselor - masini de fasonat prin presare;- masini de fasonat prin laminare;- vibroprese si traverse pentru blocuri din beton",normal,fixed,96,144,213100,281300,681100,758300,linear,number,1
2_1_7,2_1_7_2,"Masini, utilaje si instalatii pentru uscarea produselor. Masini, utilaje si instalatii pentru maturizarea produselor.",normal,fixed,144,216,213100,281300,681100,758300,linear,number,1
2_1_7,2_1_7_3,"Masini, utilaje si instalatii pentru arderea produselor, in afara de:",normal,fixed,192,288,213100,281300,681100,758300,linear,number,1
2_1_7_3,2_1_7_3_1,"Masini, utilaje si instalatii pentru arderea produselor - cuptoare electrice pentru elaborarea electrocorindonului si a carburii de siliciu precum si pentru ars email.",normal,fixed,132,204,213100,281300,681100,758300,linear,number,1
2_1_7,2_1_7_4,"Masini, utilaje si instalatii pentru arderea produselor - sini, utilaje si instalatii pentru deservirea uscatoriilor si cuptoarelor. Masini si instalatii specifice pentru producerea cimentului, varului si ipsosului. Masini si instalatii specifice fabricarii produselor din azbociment. Masini, utilaje si instalatii specifice producerii materialelor hidroizolatoare (carton asfaltat, etc.). Masini si instalatii specifice producerii materialelor termoizolatoare (a vatei minerale, a vatei si paslei din fibre de sticla). Masini si instalatii specifice producerii garniturilor tehnice de etansare. Masini si instalatii specifice producerii rondelelor, placilor izolatoare si dopurilor din pluta. Masini si instalatii specifice pentru extragerea si prelucrarea marmurei si a pietrelor naturale si artificiale de constructii. Masini, utilaje si instalatii specifice pentru ambalarea produselor. Masini si instalaii specifice pentru prefabricate din beton, caramizi silico-calcare si tigle din ciment, in afara de: ",normal,fixed,144,216,213100,281300,681100,758300,linear,number,1
2_1_7_4,2_1_7_4_1,"Masini, utilaje si instalatii pentru arderea produselor - tipare metalice si din beton, incalzitoare;- casete verticale.",normal,fixed,48,72,213100,281300,681100,758300,linear,number,1
2_1_7_4,2_1_7_4_2,"Masini, utilaje si instalatii pentru arderea produselor - tipare pentru tuburi din beton",normal,fixed,96,144,213100,281300,681100,758300,linear,number,1
2_1,2_1_8,"Masini, utilaje si instalatii pentru silvicultura, exploatarea si prelucrarea lemnului",view,none,,,,,,,,,
2_1_8,2_1_8_1,"Masini de cojit, despicat, tocat si maruntit. Stunguri si masini de copiat. Ferastraie in afara de:",normal,fixed,96,144,213100,281300,681100,758300,linear,number,1
2_1_8_1,2_1_8_1_1,"Masini de cojit, despicat, tocat si maruntit. Stunguri si masini de copiat. Ferastraie  - ferastraie cu lant portabile",normal,fixed,24,36,213100,281300,681100,758300,linear,number,1
2_1_8,2_1_8_2,"Masini de rindeluit, de frezat, de gaurit si daltuit, in afara de:",normal,fixed,96,144,213100,281300,681100,758300,linear,number,1
2_1_8_2,2_1_8_2_1,"Masini de rindeluit, de frezat, de gaurit si daltuit - masini portabile de rindeluit, de frezat, de gaurit si daltuit",normal,fixed,24,48,213100,281300,681100,758300,linear,number,1
2_1_8,2_1_8_3,"Masini de slefuit, de lustruit, masini combinate, masini agregat, in afara de:",normal,fixed,96,144,213100,281300,681100,758300,linear,number,1
